=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
R7-9    WD+Fester vs WD+BoneEater                        17.6   18.8  13.3  25.3     67     63       0      92      33     111    100  73.0       0     0  Torso was destroyed (Heart failed) (16)
R7-9    WD+collar+Bone vs Chain+Burn                     20.5   24.3  11.5  41.1     46     63       4      88      38     100    100  74.2       4     0  Torso was destroyed (Heart failed) (12)
R7-9    Claws+chain+Bite vs Dual-DoT+leather             14.1   15.5   8.3  24.4     33     21       0      83      13     100    122  61.8       0     0  Torso was destroyed (Heart failed) (12)
R7-9    Sword+plate vs Sword+plate                       24.5   23.8  15.3  34.7     50     63       0     100      38     100    100  67.1       0     0  Torso was destroyed (Heart failed) (15)
R7-9    Plate+Burn vs Plate (plain)                      24.5   25.3  14.8  44.3     50     50       0     100      33     100    100  65.5       0     0  Torso was destroyed (Heart failed) (16)
R7-9    Plate+Burn vs Plate+BoneEater                    30.5   30.4  21.0  42.2     29     50       0     100      42     100    100  59.7       0     0  Torso was destroyed (Heart failed) (18)
R7-9    Plate+Burn vs Plate+SpidersBite                  23.0   26.2  13.2  45.8     42     38       0     100      50     100    100  59.3       0     0  Torso was destroyed (Heart failed) (16)
R7-9    Dual-iron+plate vs Sword+plate                   20.8   21.4  14.8  31.1     63     63       0      96      50     103    100  70.7       0     0  Torso was destroyed (Heart failed) (14)
R7-9    Plate+Rhino-light vs Plate+Burn                  25.0   25.5  15.8  35.5     46     75       0     100      54     100    100  62.0       0     0  Torso was destroyed (Heart failed) (20)
R7-9    WD+BoneEater vs Sword+plate                      19.5   20.9  12.0  36.0     58     67       0     100      38     106    100  81.7       0     0  Torso was destroyed (Heart failed) (15)
R7-9    WD+Burn vs Sword+plate                           19.1   19.3  14.1  26.6     63     58       0     100      29     100    100  82.2       0     0  Torso was destroyed (Heart failed) (16)
R7-9    WD+collar+Bone vs Plate+Burn                     20.7   18.7  10.5  25.6     67     46       0      83      33     100    100  73.4       0     0  Torso was destroyed (Heart failed) (10)
R7-9    Claws+plate+Bite vs Dual-DoT+leather             18.2   20.8   9.9  37.2     54     38       0      96      38     100    108  72.0       0     0  Torso was destroyed (Heart failed) (14)
R7-9    Sword+plate vs Sword+chain                       19.9   19.7  12.9  28.0     67     63       0     100      42     107    100  73.7       0     0  Torso was destroyed (Heart failed) (17)

R10-13  Chain stacked+Burn/Bone vs same                  35.7   39.6  22.1  62.6     17     46       0     100      58     100    100  62.6       0     0  Torso was destroyed (Heart failed) (12)
R10-13  Chain stacked+Fester/Bite vs Burn/Bone           31.1   29.2  14.5  42.4     25     83       0     100      50     105    100  62.7       0     0  Head was destroyed (Brain failed) (11)
R10-13  WD heal+Burn vs Chain stacked                    30.7   34.1  19.9  54.3     29     67       0     100      46     105    100  68.6       0     0  Torso was destroyed (Heart failed) (13)
R10-13  WD heal+Fester vs Chain stacked                  27.9   29.3  16.6  45.1     21     71       0      92      50     113    100  69.8       0     0  Torso was destroyed (Heart failed) (12)
R10-13  WD heal+Bite vs Chain stacked                    37.8   35.8  22.4  48.3     17     63       0     100      42     103    100  61.7       0     0  Torso was destroyed (Heart failed) (17)
R10-13  WD heal+Bone vs Chain stacked                    33.1   34.1  24.7  46.4     13     58       0     100      58     100    100  63.4       0     0  Torso was destroyed (Heart failed) (15)
R10-13  WD reflect+Bite vs Chain stacked                 32.8   34.6  21.9  44.9     21     58       0     100      63     100    100  64.1       0     0  Torso was destroyed (Heart failed) (15)
R10-13  WD reflect+Bite vs WD heal+Fester                34.4   45.6  13.1 117.5     29     33      17      63      38     100    100  46.8      21     4  Torso was destroyed (Heart failed) (10)
R10-13  Unique-mix+Burn/Bone vs Chain stacked            25.6   25.7  21.0  30.7     46     21       0      75      58     100    115  63.5       0     0  Torso stopped functioning (Heart fai (4)
R10-13  Unique-mix+Bite vs Chain stacked                 25.0   29.5  19.7  38.1     46     29       0      83      63     100    104  69.2       0     0  Torso was destroyed (Heart failed) (6)
R10-13  FireStaff-2H+Fester+WD vs Chain stacked          33.4   37.0  22.5  52.9     17     88       4      79      71     110    100  62.3       4     0  Torso was destroyed (Heart failed) (11)
R10-13  FireStaff-2H+Burn+WD vs Chain stacked            39.1   41.1  27.9  54.1      4     79       0     100      63     102    100  61.8       0     0  Torso was destroyed (Heart failed) (13)
R10-13  StormStaff+Burn+WD vs Chain stacked              38.7   40.5  23.3  61.9     13     67       0      92      79     100    100  56.2       0     0  Torso was destroyed (Heart failed) (10)
R10-13  Ember+Dagger+WD vs Chain stacked                 34.2   35.8  23.3  48.0     21     75       0     100      54     101    100  60.8       0     0  Torso was destroyed (Heart failed) (14)
R10-13  WD heal+Burn vs WD+BoneEater (no stack)          24.6   28.1  14.9  46.4     46     67       0     100      54     104    100  66.0       0     0  Torso was destroyed (Heart failed) (15)
R10-13  Unique-mix vs WD+BoneEater (no stack)            25.0   27.6  16.5  38.1     50     38       0      92      42     100    102  61.9       4     0  Torso was destroyed (Heart failed) (7)
R10-13  WD heal+Bite vs Unique-mix+Burn                  24.9   27.9  21.9  45.1     54     83       0      71      29     130    100  55.9       0     0  Torso stopped functioning (Heart fai (8)
